RDKIT_SMILES,TSNE-PCA-1,TSNE-PCA-2,TSNE-PCA-3,PC-1,PC-2,PC-3,First_Class,Second_Class
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.135882,9.163565,-12.458611,11.456040883088498,-4.5569665597014986,-4.993291024419701,FASA based PFAA precursors,(N-Alkyl) FASEs
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.745793,9.038298,-12.537923,9.593003963728505,-5.295277359958535,-3.4958849090995763,FASA based PFAA precursors,(N-Alkyl) FASEs
FC(F)(F)C1(F)OC1(F)F,-9.795737,-19.432167,2.208069,-20.661027180238012,-9.9454922716047,3.451356689435397,"Other aliphatics, cyclic","Others, cyclic"
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.6516259,0.0029870735,-18.410599,2.7943293031249112,-8.677354088847277,-0.4068019704037288,Fluorotelomer PFAA precursors,n:2 FTOHs
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.5299025,1.1997201,-19.375263,8.925887024228546,-10.771351002502877,1.421865445671889,Fluorotelomer PFAA precursors,n:2 FTOHs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.6821804,-7.9720144,-15.783941,-12.039902572202658,-7.270912844085221,1.942240013851776,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.07471412,1.1580573,-20.13669,4.609317298342027,-11.061962202347932,5.698253768098162,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.82056874,2.1166992,-20.561192,10.731298564780136,-12.868825136126366,6.935871113311401,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.5575888,-2.9580598,-20.84613,-9.210652097077602,-7.029718155912911,2.143444576037429,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.3749068,0.6469891,-19.921848,1.561870124047425,-10.204947784569514,4.999714421118333,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.97914606,6.077148,-17.051851,3.0341891371607073,-10.8121570423936,5.595751170861262,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.99788487,-0.024978701,-19.713558,-1.9601343951767225,-9.37580645351577,4.364700889611245,PFAAs,PFCAs
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,-8.1322155,22.652994,1.5257015,7.4029439302003475,31.92016970219517,11.099874803632753,Side-chain aromatics,Others
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.8544434,9.283344,-13.98391,6.829250701302805,-5.338804156254962,-1.2252565413861038,FASA based PFAA precursors,N-Alkyl FASAs
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,-8.157362,22.783377,1.5059935,10.776928236754172,31.80847850574961,12.161276197437616,Side-chain aromatics,Others
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,-14.729783,-11.563376,1.4859203,-4.021786917754826,-13.634591421684895,13.535680637005758,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-1.4345082,-0.6156658,-19.572435,-5.493926430441044,-8.458950493788162,3.5707118939602327,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.2581785,6.1520233,-16.175238,-4.204125492771125,-9.094258633356576,4.163756687873705,PFAAs,PFSAs
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15.463823,-8.072972,-12.53071,13.48490840262896,-6.783434426822508,-1.5341844140712155,Fluorotelomer PFAA precursors,n:2 FTACs
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.532604,-9.329047,-11.530107,1.2407268664141906,-1.5037483938386849,-6.049234778423957,Fluorotelomer PFAA precursors,n:2 FTACs
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-8.310842,2.1725538,-14.004696,2.9792505328403034,-9.43640606276377,5.183180655338905,Perfluoro PFAA precursors,FASAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.053064782,6.1561394,-17.705065,9.185678158877193,-12.629508759777085,6.957809904742185,PFAAs,PFSAs
FC(F)(F)C(F)(F)I,-1.5793322,-19.45931,6.5799747,-25.47372615501039,-11.345707759143634,2.2060197632483978,Perfluoro PFAA precursors,PFAIs
FC(F)(Br)C(F)(F)Br,-1.2495908,-19.842974,4.702539,-24.99266218599535,-10.659561794989047,2.6015728017022006,PFAS derivatives,PFAS halogen derivatives
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,7.791381,13.835585,-11.3427515,15.996762983999592,1.1225941011001357,-13.74370613146766,Other aliphatics,Others
CN(C)CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.199831,12.582438,-12.996214,24.62012287549857,-2.2215300811852066,-9.888355769698538,Other aliphatics,PASF-based substances
CN(C)CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.962236,12.209321,-12.68868,18.011195834433323,0.12349960170111435,-11.273463796559222,Other aliphatics,PASF-based substances
O=C(O)C(F)(F)F,-9.129588,-10.836434,-7.6740847,-26.898075289069773,-6.562414670990955,-2.8743994677747557,PFAAs,PFCAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)F,-7.797165,-14.063116,3.9472363,-18.54020423770555,-10.59451284331598,4.0857497312163416,Perfluoro PFAA precursors,PAFs
FC1(F)C(F)(F)C(F)(F)C1(F)F,-9.549901,-16.727404,3.1532428,-17.366230674025545,-13.699024612818913,5.80627220349109,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
FC(F)(F)C(F)(F)F,-5.7398467,-19.374773,1.7206856,-23.896307272225357,-14.483957140072365,1.1389284223874807,Non-PFAA perfluoroalkyls,PFAs
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.562125,9.888284,-11.232678,12.196393040920212,-4.268648845865694,-4.017929153187737,FASA based PFAA precursors,(N-Alkyl) FASAAs
FC(Cl)C(F)(Cl)C(F)(F)F,-3.7996826,-16.327982,1.9483922,-22.74679868671856,-8.587894868418648,0.5579529964159962,Other aliphatics,Others
FC(F)C(F)(Cl)C(F)(F)Cl,-4.050753,-16.494242,1.9502116,-22.55056574525465,-8.654523688302785,0.461458730914509,PFAS derivatives,PFAS halogen derivatives
FC(F)(F)C(F)(F)C(Cl)Cl,-2.9403098,-16.595943,1.5512506,-22.9171766119908,-8.295035169918293,0.4875044062349505,Other aliphatics,Others
FC(Cl)C(F)(F)C(F)(F)Cl,-3.7956576,-16.452497,1.8350294,-22.48829344704842,-8.808149939893951,0.450611289849124,Other aliphatics,Others
FC(F)C(F)(F)C(F)(Cl)Cl,-3.2130635,-16.945055,1.7363827,-22.59458439074311,-8.340168410899336,0.3621171832021245,Other aliphatics,Others
COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.07286272,-11.911682,-8.761061,-15.642050289449566,-7.427006501515866,-0.9275444356977428,Other aliphatics,Others
CC1(c2ccc(O)cc2)CCc2cc(O)ccc2C1CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F,1.3147094,15.9753065,12.316121,26.34418769519339,23.86045863938761,-8.44949939848668,Side-chain aromatics,Others
O=S(=O)(O)C(F)(F)F,-9.45288,-10.866545,-7.7004046,-25.18263491536965,-7.664864101070937,-3.0124068387385456,PFAAs,PFSAs
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.640913,-1.7255481,-17.170452,-3.723021154473935,-6.204442946280928,-2.9033111427101805,Fluorotelomer PFAA precursors,n:2 FTOHs
O=S(=O)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,-3.7366152,-0.95598495,1.4213283,-2.784370578678782,-7.220782342977077,4.441952199390983,Other aliphatics,PASF-based substances
O=C(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,-0.6368548,0.0666485,4.072361,0.9569652365146925,-10.634082140095376,6.271114195471712,Other aliphatics,Others
COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,0.612781,0.55524915,1.163082,-2.1097554214921934,-4.5488168150922,0.4576401580875596,Other aliphatics,PACF-based substances
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,-10.993342,-4.8125005,11.924555,2.5545092078238176,-13.169565630034091,16.331757421098498,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
FC(F)(F)COCC(F)(F)F,-9.306919,-8.176388,-0.8732963,-18.321217725354774,-7.717695689726815,-1.9997320684340136,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.6205406,-4.046737,7.6685576,-9.628866251732726,-15.183852553908455,8.164212783416827,Non-PFAA perfluoroalkyls,PFAs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,5.506141,-10.811937,4.7151375,-2.5067781985058963,-13.192330762376551,8.087451607926669,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-12.945136,-11.298399,0.6378685,-12.555816147908015,-16.191973309917916,8.988559578728971,Non-PFAA perfluoroalkyls,PFAs
FCOC(C(F)(F)F)C(F)(F)F,-10.394782,-14.985121,-3.6214416,-18.628711565385387,-8.478021495406143,-1.083585754876443,Other aliphatics,Others
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,-8.58555,-4.1447515,14.50694,14.847274730464267,-9.776395525648573,18.234605635292464,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[nH]1,-15.775332,5.343501,-3.8989184,10.067666311032642,43.43974202995787,20.264315014145197,Side-chain aromatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.47695798,1.6463999,-20.33935,7.709803287441317,-11.947318570138457,6.314537306814909,PFAAs,PFCAs
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.770997,-10.058929,-13.023938,3.056380483501292,-0.6179140612116704,-7.697790397973682,Fluorotelomer PFAA precursors,n:2 FTMACs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,7.2807503,-7.157996,13.745896,-4.440758600199903,-7.277152565863316,0.5161658601213094,Fluorotelomer PFAA precursors,n:2 FTIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,4.5321927,-8.060583,13.047772,-8.93972233009086,-12.120622005559554,7.36346890423891,Perfluoro PFAA precursors,PFAIs
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.9039555,-13.641353,-6.167176,-14.458398871759973,-3.176226386530217,-1.6734643081391405,Fluorotelomer PFAA precursors,n:2 FTOs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,7.0822234,-9.589484,13.4161825,-11.899500205218658,-4.4520040401538905,-2.203346328143545,Fluorotelomer PFAA precursors,n:2 FTIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,3.191657,-13.259251,12.639328,-17.310853423606122,-12.092377659115634,6.442865493762996,Perfluoro PFAA precursors,PFAIs
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,-3.9871075,18.56997,-2.758615,21.206146699427084,28.02443153127731,1.7981992798190989,Side-chain aromatics,Others
CCCCCCCCn1cc[n+](C)c1,-15.171166,7.380204,-7.901799,-9.40104906776671,19.189554366544453,-4.949211284837052,Not PFAS,Not PFAS by current definition
O=P(O)(OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,9.916053,9.899311,6.423388,20.543448525325275,-9.909693486019505,7.486544571674219,"Other aliphatics, cyclic","Others, cyclic"
O=P(O)(OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)OP(=O)(O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,10.609282,9.915887,6.5875144,26.36742311863731,-9.600358382028586,6.497404869423961,"Other aliphatics, cyclic","Others, cyclic"
O=P(O)(O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,10.8834915,13.593906,4.692301,-0.5647227504408986,-3.762915394255773,-1.024412356836625,"Other aliphatics, cyclic","Others, cyclic"
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.835976,14.678632,-13.085343,16.170274471924625,-2.4331272062821365,-9.413670324079538,Other aliphatics,PASF-based substances
FC(F)=C(F)OC(F)(F)F,-7.4989853,-11.706374,2.7297661,-23.147955487236363,-8.679960075243072,3.5342626965074984,Other aliphatics,Others
FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,-3.766135,-7.7022357,-2.1361105,-13.12974755454928,-10.391117553628836,1.836025090292433,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.5884724,-0.3633374,8.833537,-4.97667130849486,-15.96017298939378,9.942784831152439,Non-PFAA perfluoroalkyls,PFAs
C=C(C(F)(F)F)C(F)(F)F,-12.002384,-16.601015,-2.4609454,-21.313260239902643,-8.190253044606889,1.6186306004976625,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)F,-11.369037,-17.605318,-1.1035088,-19.933287721283836,-16.20602470410717,6.100728189900933,Non-PFAA perfluoroalkyls,PFAs
NC(=O)c1nc(-c2ccccc2)n(-c2ccc(Cl)c(COCC(F)(F)C(F)(F)F)c2)n1,-15.344901,5.6729426,-3.0578804,10.829058342931898,42.91731509910582,18.144045952190517,Side-chain aromatics,Others
CC(=O)N1C(=O)N(NCc2cccnc2)Cc2cc(C(F)(C(F)(F)F)C(F)(F)F)ccc21,-14.869363,12.801993,-8.42938,12.901033647807855,35.383233623206756,12.748664826666205,Side-chain aromatics,Others
O=C(O)C(F)(F)C(F)F,-7.890041,-11.408923,-8.572119,-22.455382268825264,-5.1031250919238,-3.098086095123864,Other aliphatics,PACF-based substances
FC(F)(Cl)C(F)(Cl)C(F)(F)Cl,-10.114524,-17.545755,-0.038988695,-20.664854202546405,-11.838262274013648,6.686611283130285,PFAS derivatives,PFAS halogen derivatives
OCC(F)(F)C(F)F,-7.3944006,-11.663108,-8.162657,-23.23264227945857,-4.871326243842722,-6.99972009485018,Other aliphatics,Others
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.8390608,-1.0719852,-18.603405,-2.396014176309942,-9.51013320316074,1.3149130177587236,Fluorotelomer PFAA precursors,n:1 FTOHs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.14759178,-2.20892,8.4177,-2.221108916197489,-15.123837956034533,8.761796561796627,Non-PFAA perfluoroalkyls,PFAs
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.7914042,1.3357586,-0.069961354,7.501033839413775,-14.068050820974175,8.54341293728476,Perfluoro PFAA precursors,PASFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,5.625171,-3.1974425,11.643707,10.518663155938537,-16.513783423767475,10.267091170524226,Perfluoro PFAA precursors,PFAIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,5.917741,-2.0774505,11.172883,16.516984775669165,-18.263759328880496,11.295011747823613,Perfluoro PFAA precursors,PFAIs
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,3.0944502,-1.1511889,-20.938374,6.436249649938063,-11.774092580897767,2.6065702582079973,Other aliphatics,Others
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.706926,-9.250199,-11.212103,2.6149395716498227,-4.0688331402389,-2.5306229557564617,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,4.8110247,-6.5039654,13.315233,-4.500765121573852,-12.719816737284145,7.996379962313101,Perfluoro PFAA precursors,PFAIs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.9132445,-3.271561,6.816641,-3.6524575106471224,-11.500379851735234,6.963065880894094,Perfluoro PFAA precursors,PAFs
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.382314,0.23957318,0.43779358,-2.2838428795058863,-11.564264169076884,6.4249995776874504,Perfluoro PFAA precursors,PASFs
C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.26139686,9.208768,-12.419441,-1.8184537183975211,1.1221672368230042,-5.10516070373557,Other aliphatics,PASF-based substances
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,2.5620985,-3.8243585,-19.263746,-7.0083906830648015,-7.8296510317424115,-0.9082237851466712,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,-1.7910676,-2.3731692,-20.469656,-9.316808599352504,-5.448121198089552,1.2178188862016133,Other aliphatics,PACF-based substances
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.5373622,0.07996911,8.92271,2.9390341276204746,-16.22886151849809,11.092045929135887,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.9938097,1.4104351,9.7916155,23.578893800506496,-20.237707418991977,15.977212439405935,Other aliphatics,Others
FC(F)(F)C(F)(F)CI,-1.2239136,-17.099884,8.680297,-23.52206495613884,-7.8517281296343056,-0.9922547065562316,Other aliphatics,Others
NC(=O)C(F)(F)C(F)(F)F,-9.866889,-5.96788,-11.675209,-22.236248094231968,-3.8709947180180886,-1.5343828968448652,Other aliphatics,Others
O=S(=O)(F)C(F)(F)C(F)(F)F,-6.2684836,-17.578976,4.255434,-20.969433475074496,-10.80808910503319,1.6801478660632776,Perfluoro PFAA precursors,PASFs
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-9.393631,-7.264937,8.6025915,-8.396413041073519,-12.432992406197947,9.393442232383443,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=S(=O)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-9.60021,-8.393967,9.913943,-8.229246476204924,-9.811078203247478,7.354046584368393,"Perfluoro PFAA precursors, cyclic","PASFs, cyclic"
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-7.837875,-13.196045,4.263676,-16.92697784331871,-15.423726035512626,6.42274161982267,Non-PFAA perfluoroalkyls,PFAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.67711,-4.824382,6.6531615,-10.998861909715725,-10.91106143194573,6.138338549151517,Perfluoro PFAA precursors,PAFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,6.2502246,-1.1005629,10.882224,22.692037288483004,-19.993675478939906,12.253152965548338,Perfluoro PFAA precursors,PFAIs
OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-3.136207,-9.867708,-13.399329,-14.786288203176225,-6.163887080810516,-3.1490851621707594,Other aliphatics,Others
FC1(F)C(F)(Cl)C(F)(F)C1(F)Cl,-11.283396,-16.361141,0.81443894,-17.703391341309892,-10.935265391063876,8.507154638689151,"Other aliphatics, cyclic","Others, cyclic"
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.09685139,-7.72991,-6.3857207,-15.589023661318178,-2.749483477808793,-3.997407174126688,Other aliphatics,PACF-based substances
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,4.0178604,-3.8525271,-3.9136503,-12.43753431446553,0.1764148417050518,-8.860855359939778,Other aliphatics,PACF-based substances
O=C(OOC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.36918524,-3.2414758,4.2617497,-8.140676547109669,-7.835324220114456,3.4762323902043333,Other aliphatics,PACF-based substances
C=CC(=O)OCC(F)(F)C(F)(F)F,9.405326,-13.550006,-10.526364,-14.571637351032164,3.3779430739003256,-9.175909172716542,Other aliphatics,Others
FC(=C(F)C(F)(F)F)C(F)(F)F,-8.407418,-13.208335,3.3543563,-19.55949059849872,-11.498107275697064,6.2521125636767145,Non-PFAA perfluoroalkyls,PFAenes
FC(F)(F)C(F)(F)C(F)(F)CI,4.6084003,-13.830583,12.984149,-19.209948000395208,-7.660094287263313,0.8954708021242552,Other aliphatics,Others
N#CC(F)(F)C(F)(F)C(F)(F)F,-19.824121,-3.502443,3.061313,-19.93733086901085,-9.075687958523206,3.957846339184551,Other aliphatics,Others
OCC(F)(F)C(F)(F)C(F)(F)F,-3.7372472,-10.599245,-11.149047,-18.44406153031472,-6.014731877443867,-3.5146304972364777,Fluorotelomer PFAA precursors,n:1 FTOHs
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,-3.9529903,-11.744132,4.9533052,-19.09035052019268,-8.566451379755437,3.9797193826468766,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,-5.0159745,-10.95835,-12.585396,-17.863044948117693,-6.3781842425996516,0.3428024328504937,PFAAs,PFCAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-8.818191,-6.66133,4.347141,-14.69535830236031,-10.82719226171094,5.342430554015867,Perfluoro PFAA precursors,PAFs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-1.4836801,-3.5930572,6.605908,-7.110456467389707,-11.183340884493836,6.6289987202168845,Perfluoro PFAA precursors,PAFs
